timestamp,toll_km,vehicle_volume,avg_speed_kmh,congestion_level,congestion_risk_pct,weather
2026-02-24 14:58:12.541727,KM10,596,23,HIGH,74,Rain
2026-02-24 14:53:12.541744,KM10,570,19,HIGH,76,Rain
2026-02-24 14:48:12.541748,KM10,445,31,HIGH,82,Rain
2026-02-24 14:43:12.541751,KM10,509,25,HIGH,85,Rain
2026-02-24 14:38:12.541753,KM10,451,31,HIGH,94,Rain
2026-02-24 14:33:12.541758,KM10,412,33,HIGH,85,Rain
2026-02-24 14:28:12.541761,KM10,485,30,HIGH,73,Rain
2026-02-24 14:23:12.541764,KM10,401,30,HIGH,91,Rain
2026-02-24 14:18:12.541766,KM10,612,38,HIGH,92,Rain
2026-02-24 14:13:12.541768,KM10,738,39,HIGH,94,Rain
2026-02-24 14:08:12.541771,KM10,456,36,HIGH,87,Rain
2026-02-24 14:03:12.541773,KM10,412,22,HIGH,72,Rain
